month;energy_consumption
2018-01;4259872.8
2018-02;3924540
2018-03;4137076.8
2018-04;4091198.4
2018-05;6008032.8
2018-06;6405595.2
2018-07;6205579.2
2018-08;6986512.8
2018-09;5969296.8
2018-10;5996572.8
2018-11;4846701.6
2018-12;5015440.8
